Dimension,dimension_guid,categorisation_code,has_parent,has_all,has_unknown,Ethnicity categorisation,Subtopic,Measure
Physical inactivity by ethnicity and age group,839728217353a522ab843a9e0684176214a5b4e7,7A,No,Yes,No,"Asian, Black, Chinese, Mixed, White British, White other, Other",Exercise and activity,Physical inactivity
Physical inactivity by ethnicity and socio-economic group,0fae385f1346bf54ca87741cc0d3191cfa7e1ad3,7A,No,Yes,No,"Asian, Black, Chinese, Mixed, White British, White other, Other",Exercise and activity,Physical inactivity
Satisfaction with GP services by ethnicity,abfe555b00d82da2c3441ceca4ac92c273ed42ee,18A,No,Yes,No,2011 census: 18 categories,Patient experiences,Patient experience of primary care - GP services
Satisfaction with GP out-of-hours services by ethnicity,5f3b09cf1f4c49bb049c4bfec63c55322157f728,18A,No,Yes,Yes,2011 census: 18 categories,Patient experiences,Patient satisfaction with GP out-of-hours services
Inpatient satisfaction with hospital care by ethnicity,ad15f7e00179ad09400e4f48b9189eb98485688d,18A,No,Yes,No,2011 census: 18 categories,Patient experiences,Inpatient satisfaction with hospital care
Patients reporting a positive experience of NHS dental services by ethnicity,d9996f6b6998e4139569d3913ae3f9b185222eeb,18A,No,Yes,Yes,2011 census: 18 categories,Patient experiences,Patient satisfaction with NHS dental services
Average health-related quality of life score for adults aged 65 and older,162b090db49a889970c306c9aab314f6fc193a99,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Patient outcomes,Health-related quality of life for older people
Outcomes of referrals following psychological therapy by ethnicity,f9bed0f35fb40bf471f902881d0e95b0b7e4bfaf,16A,Yes,No,No,2001 census: 16 categories (plus 'unknown'),Patient outcomes,Outcomes for treatment for anxiety and depression
Outcomes of referrals following psychological therapy by gender and ethnicity,fac089d70037d134bc64d838b02966477e760690,16A,Yes,No,No,2001 census: 16 categories (plus 'unknown'),Patient outcomes,Outcomes for treatment for anxiety and depression
People aged 15 and over diagnosed with late stage HIV,786018f12f1d1a4fb954e81d81ee158e4e1f90f2,6C,No,Yes,Yes,"Asian, Black African, Black Caribbean, Black other, White, Other",Patient outcomes,HIV infection late-stage diagnosis in people aged 15 and older
Cancer diagnosis at an early stage by ethnicity,0a12b2af6f6d3ed1e9b12cd507544277766dea76,6A,No,Yes,Yes,"Asian, Black, Chinese, Mixed, White, Other",Patient outcomes,Cancer diagnosis at an early stage
Happiness yesterday by ethnicity,bdbd7cad271961c99d3878e24baf5abd99f79655,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: happiness yesterday
"Feeling the things you do in your life are worthwhile, by ethnicity",585cfb62dd1a816ef2e09a3cd0328822e8cdee60,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: how worthwhile people feel the things they do in their life are
"Lifetime suicidal thoughts, attempts and self-harm in adults",e6fc3916c5188c2a20ab2ab3d6b25890acfd3967,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,"Adults reporting suicidal thoughts, attempts and self harm"
Anxiety yesterday by ethnicity,46100803210a3863ae140f8b7494e7a64b2049e1,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: anxiety yesterday
"Rates of detention (per 100,000) under the Mental Health Act 1983 by broad ethnic group",38b7cf0705594f7d3c633dd6a5f84d1ed69f6be7,5B,No,No,No,"Asian, Black, White, Mixed, Other",Physical and mental health,OLD Detentions under the Mental Health Act
"Feeling the things you do in your life are worthwhile, by ethnicity over time",10e8916f1ffb14600f6fdfd3a5a93091fb1118e5,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: how worthwhile people feel the things they do in their life are
"Rates of detention (per 100,000) under the Mental Health Act 1983 by specific ethnic group",3292447761cf858f469973109c639389101653e0,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Physical and mental health,OLD Detentions under the Mental Health Act
Happiness by ethnicity over time,e58035eb6a3692a92f16aaf797aab37e4a088112,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: happiness yesterday
Anxiety by ethnicity over time,31f9439eb22665a20b5ed5a4490a74ebc0922fae,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: anxiety yesterday
"Feeling the things you do in your life are worthwhile thresholds, by ethnicity",cb95a52e73ad79b479628c6ec50a23db054b05ba,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: how worthwhile people feel the things they do in their life are
Anxiety thresholds by ethnicity,55f29aa351097bfc30c3c54a56404a2739e536c1,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: anxiety yesterday
Happiness thresholds by ethnicity,6e2e9a528b463efafbf0859ad2bd5426f51aee77,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: happiness yesterday
"â€˜Very lowâ€™ levels of anxiety, by ethnicity over time",b48aae3e2c923df99cb56a7782fba801bdb9445b,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: anxiety yesterday
"â€˜Very highâ€™ levels of feeling the things you do in your life are worthwhile, by ethnicity over time",06345c2f14330e8b78b8eeb4b5891d4275d4614b,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: how worthwhile people feel the things they do in their life are
"â€˜Very highâ€™ levels of happiness, by ethnicity over time",ebb80a8808c30685859877b493fcd4a9bc82b13b,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: happiness yesterday
Anxiety by ethnicity and socio-economic group,422050d7d09b22e89d99aa5a1f2edfe32bcb31ed,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: anxiety yesterday
Happiness by ethnicity and socio-economic group,0e69862b8989aa974356a41d4c66d8ed16e72c67,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: happiness yesterday
"Feeling the things you do in your life are worthwhile, by ethnicity and socio-economic group",4d0bf527ab9c4af32d36bd40bc5d7f7815de60de,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: how worthwhile people feel the things they do in their life are
Happiness by ethnicity and gender,e259aa9b848697abcf3da53921a8269082d6f461,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: happiness yesterday
Anxiety by ethnicity and sex,2cd0c99c0be8d5c69d39b310f738ce6a7a42929a,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: anxiety yesterday
"Feeling the things you do in your life are worthwhile, by ethnicity and gender",0686fe109305854e267e943016691f6c77b9866b,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: how worthwhile people feel the things they do in their life are
Percentage of adults who screened positive for PTSD in the month prior to the survey by ethnicity group and sex.,2b0a3376b70b8b3f54f80776445d3f8402670f9d,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,Adults with post-traumatic stress disorder (PTSD) in the month prior to survey
Percentage of people with a common mental disorder by sex and ethnicity,8fbb2c39b7535d5ee5710c3781f77b392b2e2ad8,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,Adults experiencing common mental disorders
Drug dependency amongst adults,dd5543e5e2cd5ccf7c455165b812313948483afb,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,Drug dependency in adults
Percentage of adults who used illicit drugs by ethnicity and sex,8e8b3af71d4cb041dc6540f4578f9043e94146cc,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,Illicit drug use among adults
"Prevalence of screening positive for a personality disorder in adults, England, 2014",341f45d90fe9d2ec712451f57828aff5a778530b,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,Prevalence of personality disorder in adults
Adults screening positive for bipolar disorder by ethnicity and sex,8bb551e1c3493696cab8337dfb8aaf9010927a07,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,Adults screening positive for bipolar disorder
"Prevalence of screening positive for attention-deficit/hyperactivity disorder (ADHD) in the six months prior to the survey in adults, England, 2014",9f560bd9dfc5bd6c07609fc644023928fbc2474f,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,Prevalence of ADHD among adults
Adults who drank at levels that pose more than a low risk by ethnicity and sex,f24cd4557244612db537e860c16233ede758dcc5,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,Problem drinking among adults
Harmful and probable dependent drinking among adults by ethnicity and sex,8ebe469662b08e6137ec729a52fe84d997dee710,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Physical and mental health,Problem drinking among adults
Psychotic disorder in the year prior to survey,a3b550c5078785c0c9258f5e7a941c5a049a9517,4A,No,No,No,"Asian, Black, White, Other",Physical and mental health,Adults experiencing a psychotic disorder
Life satisfaction by ethnicity,b7453f136d10f60734aa2b15661ed8bc4fe9d411,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: Life satisfaction
Life satisfaction over time by ethnicity,4e3318b0e079394c611bb27678af0a21deff2a77,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: Life satisfaction
Life satisfaction thresholds by ethnicity,5652f2ed74f0ce97adae46e2b39c9cfbfe4c8093,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: Life satisfaction
Life satisfaction by ethnicity and sex,166a27682a87b5738be29177c0f638b019706601,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: Life satisfaction
Life satisfaction by ethnicity and socio-economic group,510809e9a4d8e646da9e57842a7015431578a5bc,12A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Physical and mental health,Well-being: Life satisfaction
Overweight adults by ethnicity over time,d0e874ec8852c9493fc0b045c0568f6d2414d347,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Preventing illness,Overweight adults
Absence of tooth decay in 5 year olds,3fa95437878fcce2417111b92139ac2eca836698,6A,No,Yes,Yes,"Asian, Black, Chinese, Mixed, White, Other",Preventing illness,Absence of tooth decay in 5 year olds
Overweight children by ethnicity,6ae8f558de285a13d17cfdedfcedb576dab675a2,16A,No,Yes,Yes,2001 census: 16 categories (plus 'unknown'),Preventing illness,Overweight children
Cigarette smoking among 15 year olds by ethnicity,f5af1ac3e2b2e42382dabecd964a1400bfe2c184,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Preventing illness,Cigarette smoking among 15 year olds
Percentage of adult smokers aged 18 years and over in routine and manual jobs,aca81fbaca8a4ccafa5ace4d3fd0270773bb18eb,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Preventing illness,Adult smokers in the UK in routine and manual jobs
Healthy eating of 5-a-day among adults by ethnicity,0ecbfeeb167a78b7f659ad755ce9e17934df7d53,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Preventing illness,Healthy eating of 5-a-day among adults
Healthy eating of 5-a-day among 15 year olds by ethnicity,9e2145e6713948d81c1cb201f66a1f1780a7dd14,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Preventing illness,Healthy eating of 5-a-day among 15 year olds
Adult smokers by ethnicity,c53390416735c6bada105c234833e23020f7b0a4,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Preventing illness,Adult smokers
Adult smokers by ethnicity over time,ffb9b47873c0800cb0759a60e48f22ca1aaa74ac,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Preventing illness,Adult smokers
Time spent living in current home by ethnicity,e407e312175312bff2e9131e20a7a41846a397e2,18A,No,No,No,2011 census: 18 categories,Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and socio-economic group,c13ca3cb17e39c7ef6a305a48d3929874ce6971d,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and income,0a422d747777b212d7c7c9dcdba5f36919738a8d,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity by area,fc5888a6ca0743f2a06d7682aea563fae76f415b,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and type of occupancy,3e77a57a33353b432a3ade0d22382ebb58902cf1,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Spending on mortgages by ethnicity,d613e6e2b7b26e55d03ed7425a37a776a073144c,18A,No,No,No,2011 census: 18 categories,Owning and renting,Spending on rent and mortgages
Spending on rent by ethnicity,cb67799bcd2e89de7db4628a2d962fd21bbfa962,18A,No,No,No,2011 census: 18 categories,Owning and renting,Spending on rent and mortgages
Home ownership by ethnicity,eb1f9ff2534bb615af84fbc5bdf2a05740e059b8,18A,No,No,No,2011 census: 18 categories,Owning and renting,Home ownership
Home ownership by ethnicity and socio-economic group,9479cc6e112b084d81cba7c670f8abcdfe39fca8,2B,No,No,No,"White British, Other",Owning and renting,Home ownership
Home ownership by ethnicity and weekly income,5bafe66773796c870a104aaffb9ce4d10c872823,2B,No,No,No,"White British, Other",Owning and renting,Home ownership
Home ownership by ethnicity and area,37906c98e9f7445ff761be36d84f62a4d4c4b344,2B,No,No,No,"White British, Other",Owning and renting,Home ownership
Home ownership by ethnicity and age group,9b283b2c9297c7b427095f566b25cf646530824a,2B,No,No,No,"White British, Other",Owning and renting,Home ownership
Average age of first-time buyers by ethnicity,7737ea3e263072eb1bb6175946ebdf63de62c45c,18A,No,No,No,2011 census: 18 categories,Owning and renting,Age of first-time buyers
Households getting financial help from family to buy their home by ethnicity,971c4acacc67d44639fbe68e421b878276bfb842,18A,No,No,No,2011 census: 18 categories,Owning and renting,Financial help from family to buy a home
Deposits paid by first-time buyers by ethnicity,6204677966e5eaea3215f620f64cb2ec46ca1961,2B,No,No,No,"White British, Other",Owning and renting,Deposits paid by first-time buyers
Deposits paid by first-time buyers by ethnicity and socio-economic group,54d43e870bc73cacabf8f4c7510c471053fd4e07,2B,No,No,No,"White British, Other",Owning and renting,Deposits paid by first-time buyers
Households renting from a private landlord by ethnicity,3983fd08aca6756ce41e2348ccc2919c44c1abc8,18A,No,No,No,2011 census: 18 categories,Owning and renting,Renting from a private landlord
Households renting from a private landlord by ethnicity and socio-economic group,e7682cc0633975b7b21eda5583b1409973ab2eea,2B,No,No,No,"White British, Other",Owning and renting,Renting from a private landlord
Households renting from a private landlord by ethnicity and income,d794edc06a38a3cc8583fbf661ce0a6f690585f4,2B,No,No,No,"White British, Other",Owning and renting,Renting from a private landlord
Households renting from a private landlord by ethnicity and area,0f06de0be0f0aeb627e0edbffbe09560705e67aa,2B,No,No,No,"White British, Other",Owning and renting,Renting from a private landlord
Households renting from a private landlord by ethnicity and age group,866ea06730f05c83bc1e74a1e9b62072bbc20d3d,2B,No,No,No,"White British, Other",Owning and renting,Renting from a private landlord
New social housing lettings by ethnicity,934e70d78793301e491bf0cef355f2a4a743afd4,18A,Yes,No,No,2011 census: 18 categories,Social housing,New social housing lettings
New social housing lettings by ethnicity and income,106bb6f5b8eeba3cebe27aed52227e6ce5bc3743,18A,Yes,No,No,2011 census: 18 categories,Social housing,New social housing lettings
New social housing lettings by ethnicity and area,15bd55452dabe30b4238fff1c1470b2f8b886db9,2A,No,No,No,"White, Other",Social housing,New social housing lettings
New social housing lettings by ethnicity and local authority,f73af0798d5ca80f38ab3be697ff257cfb297b44,2A,No,No,No,"White, Other",Social housing,New social housing lettings
New social housing lettings by ethnicity and age group,9ea74b8dc9384a50c4a17a6183872da45dd483c3,18A,Yes,No,No,2011 census: 18 categories,Social housing,New social housing lettings
Households renting social housing by ethnicity,31ada4d01dca0a6c5f36940285ca3160af25769f,18A,No,No,No,2011 census: 18 categories,Social housing,Renting from a local authority or housing association (â€˜social housingâ€™)
Households renting social housing by ethnicity and socio-economic group,890f3adbef6994f2cb26d126123b7ac9a1fd4760,2B,No,No,No,"White British, Other",Social housing,Renting from a local authority or housing association (â€˜social housingâ€™)
Households renting social housing by ethnicity and income,2c7155f3385d56303d200668a78c3cff14732b69,2B,No,No,No,"White British, Other",Social housing,Renting from a local authority or housing association (â€˜social housingâ€™)
Households renting social housing by ethnicity and area,aeead25ccbaf5a29bb21b67566bd90304ac09e2b,2B,No,No,No,"White British, Other",Social housing,Renting from a local authority or housing association (â€˜social housingâ€™)
Households renting social housing by ethnicity and age group,227c4f1b6e1fb440ce38524812f559c4b70892bc,2B,No,No,No,"White British, Other",Social housing,Renting from a local authority or housing association (â€˜social housingâ€™)
Routes into social housing by ethnicity,cf23e2fcde86d2823ab927caefddd83ddc7d546b,18A,No,Yes,No,2011 census: 18 categories,Social housing,Routes into social housing
Vulnerable households living in social housing by ethnicity,c1ee87d7e3f61f3dbaead14fa5f6c60635dfc579,18A,No,Yes,No,2011 census: 18 categories,Social housing,Vulnerable households living in social housing
Income spent on rent for new social lettings by ethnicity,47d3e9bb50e43757c1ee4f55d6446488f8c88958,18A,No,No,No,2011 census: 18 categories,Social housing,Income spent on rent for new lettings of social housing
Income spent on rent for new social lettings by ethnicity and area,5b69542e1805bac194de852c1cfb4aeea51fe8ff,18A,No,No,No,2011 census: 18 categories,Social housing,Income spent on rent for new lettings of social housing
Length of tenancy for new lettings in social housing by ethnicity,b7e307da04f8f2014912fcc759669b0ecc978698,18A,No,Yes,No,2011 census: 18 categories,Social housing,Length of tenancy in social housing
Number of homeless households by ethnicity,0a7264fbcb9738f76378db43205f56120eba1a9f,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other",Homelessness,Statutory homelessness
Percentage of homeless households by ethnicity,4c1eb1aec8e11c7a9bffd00186a6f56d466d855d,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other",Homelessness,Statutory homelessness
Percentage of homeless households by ethnicity and area,8965cf02e288555fce550929defc06196e3d0d54,5B,No,No,Yes,"Asian, Black, White, Mixed, Other",Homelessness,Statutory homelessness
Overcrowded households by ethnicity,14a7b5f638582c3985d13f309ba963663bd67c6b,18A,No,No,No,2011 census: 18 categories,Housing conditions,Overcrowded households
Overcrowded households by ethnicity and socio-economic group,750da3a9d6838af12897de32537b9feae60b9091,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and income,35994e45ecf004315a0f96f9060fdaade20b2dc1,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and area,69be072a0f77c017e3461e7f83558c91249a6c9d,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and age group,3058919377082ce08562aa4103c9bdf4ff8740f8,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and type of occupancy,0032e490845ccc02f1323491497cdf247377a1cb,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Households under-occupying their home by ethnicity,1a4481bdd16adc53bb92bce7a3b62f0bc1d05e84,18A,No,No,No,2011 census: 18 categories,Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and socio-economic group,f018b22e4973e41e1ac79d2e6b9e95b8e1eae93a,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and income,343b27aa9f79d76476ebe3a8b7f46a91f531649b,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and area,696f360ffd38035d771167db5fab79550cfbbcc2,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and age group,5d033a4e5f183f5cf8f14b925a71210457b4b209,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and type of occupancy (renting or ownership),ccdeb32a83729baf1f283e4e79a5d146d80444f3,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households with damp problems by ethnicity,3105a684eedac40fc9b15b179bed0c1bc57fb973,18A,No,No,No,2011 census: 18 categories,Housing conditions,Housing with damp problems
Households living in non-decent homes by ethnicity,1f118186f49c771f5a1c23632b4e9548ce4bd64c,18A,No,No,No,2011 census: 18 categories,Housing conditions,Non-decent homes
Households in fuel poverty by ethnicity over time,770164a7b2d6d902f4ae66630e833ce90109477b,2A,No,No,No,"White, Other",Housing conditions,Fuel poverty
Average fuel poverty gap by ethnicity over time,48237e6cd1bbe6f0b84d0020de1bc0b56d7847c9,2A,No,No,No,"White, Other",Housing conditions,Fuel poverty gap
Employment by ethnicity,947173846ee714b8e9ea7a0597673e3a0505ea0e,8A,Yes,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Employment,Employment
Employed people from White and Other ethnicities,15949fcaaefb0050db65fcfa2385d6ccb0f774cb,2A,No,Yes,No,"White, Other",Employment,Employment
Employment by ethnicity over time,835441d6ee8ba53cc80ad3ad0c6971eb5bead37c,8A,No,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Employment,Employment
Employment by ethnicity and region,95620e82c5782133ba65392276cec8ceb4916b9c,8A,No,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Employment,Employment
Employment by ethnicity and gender,3654ae1fd3ad1299e9c167a15504964df8fe57f8,8A,No,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Employment,Employment
Employment by ethnicity and age,3e2a118cbbabcc312f080ea5027f58de71a53c98,8A,No,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Employment,Employment
Employment for 16 to 24 year olds by ethnicity over time,9aa92d2a4788d11ed847dbf9b64bdf7fa48ffee5,8A,No,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Employment,Employment
"Employment by type of occupation, by ethnicity",25829a26e76fab4d9b08f5eccd138195283c6a1f,6D,No,Yes,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Employment,Employment by occupation
Employment by sector by ethnicity,1447fe8e62c4fd71ddb34614e1273e3638d73b60,6D,No,Yes,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Employment,Employment by sector
Employment by ethnicity and qualification level,93c4e03e1c09ac98fb5a3d8a47ee199f25cf18a9,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Employment,Employment by qualification level
Employed men by ethnicity and qualification level,477ea0e39cc15c193e50574031743dc8d81079d4,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Employment,Employment by qualification level
Employed women by ethnicity and qualification level,bad7c27fa43f7fb64e78977d4f7cea385ebc02c3,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Employment,Employment by qualification level
Unemployment by ethnicity,809ba92a979144c48072bf329f37092e9fe88f99,8A,Yes,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unemployment and economic inactivity,Unemployment
Unemployment by White and Other ethnicities,65d0cfc709115c03554ec80a6d909fb80627d47c,2A,No,Yes,No,"White, Other",Unemployment and economic inactivity,Unemployment
Unemployment over time,38c486013585bbe8091ea369ae39bced9da60a51,8A,Yes,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unemployment and economic inactivity,Unemployment
Unemployment by ethnicity and region,48ce2fba68cd120f11932d915074a970a73115ee,2A,No,Yes,No,"White, Other",Unemployment and economic inactivity,Unemployment
Unemployment by ethnicity and gender,6eac5f29d837cca00a9e381a9e455cd7b0c4ac37,2A,No,Yes,No,"White, Other",Unemployment and economic inactivity,Unemployment
Unemployment by ethnicity and age,f4181e5e18253c9119a9faed74397dd9b86ddd7a,2A,No,Yes,No,"White, Other",Unemployment and economic inactivity,Unemployment
Unemployment for 16-24 year olds by ethnicity over time,6a95e6a508c2cbb52315ebbeda8d52b8c9583a05,2A,No,Yes,No,"White, Other",Unemployment and economic inactivity,Unemployment
Time spent in unemployment,b9886485e930fb489eea13fd8e14ab4238c032f4,2A,No,Yes,No,"White, Other",Unemployment and economic inactivity,Length of time spent in unemployment
Economic inactivity by ethnicity and qualification level,f26545c8071c2bad531b2bbe07f4953881c2d447,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Unemployment and economic inactivity,Economic inactivity by qualification level
Economically inactive men by ethnicity and qualification level,5684dcab2359af7e136ee0d391b39efaa8917c29,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Unemployment and economic inactivity,Economic inactivity by qualification level
Economically inactive women by ethnicity and qualification level,69037a0ea0e15646aa3b21caa82a9bfeb886837f,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Unemployment and economic inactivity,Economic inactivity by qualification level
Unemployment by ethnicity and qualification level,c91f25b7c65f91b21b5dcb89d0c1b9a737382d11,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Unemployment and economic inactivity,Unemployment by qualification level
Unemployed men by ethnicity and qualification level,318cb9e2bb7aaf6a609cb89d2b4506e2856df0b9,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Unemployment and economic inactivity,Unemployment by qualification level
Unemployed women by ethnicity and qualification level,9c3827f50d8ff8e3e94d679ac5258d8131d5bf80,5B,No,Yes,No,"Asian, Black, White, Mixed, Other",Unemployment and economic inactivity,Unemployment by qualification level
Economic inactivity by ethnicity,a54f27736a1b6597e581ae35bc5f0521759dc8b4,8A,Yes,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unemployment and economic inactivity,Economic inactivity
